港台,#genre#
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰中文,http://107.151.203.111:2209/135/hk.php?id=fhzw
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰资讯,http://107.151.203.111:2209/135/hk.php?id=fhzx
凤凰香港,http://120.84.96.85:808/hls/81/index.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8 
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
翡翠台,http://r.jdshipin.com/qClQf
明珠台,http://r.jdshipin.com/ZQ4kN
明珠台,http://120.84.96.62:808/hls/26/index.m3u8?blog.ntnas.top
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8 
莲花卫视,http://107.151.203.111:2209/135/hk.php?id=amlh
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
翡翠台,http://baidu.douyincdn.freetvtv.com/jade2/index.m3u8
明珠台,http://baidu.douyincdn.freetvtv.com/peal/m2.m3u8
纬来体育,http://123.51.230.108:18509/.m3u8
龙华戏剧,http://123.51.230.108:18513/.m3u8
东森财经,http://123.51.230.108:18515/.m3u8
龙华日韩,http://123.51.230.108:18551/.m3u8
有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
耀才财经新闻,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000?zgangd
耀才财经新闻,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
财经体育资讯台,http://120.84.96.62:808/hls/86/index.m3u8?blog.ntnas.top
财经体育资讯台,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
TVB无线财经,http://120.84.96.62:808/hls/86/index.m3u8
TVB无线财经,http://120.84.96.55:808/hls/86/index.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
龙祥时代,http://120.84.96.62:808/hls/35/index.m3u8
好莱坞电影,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8?blog.ntnas.top
央视,#genre#
